category_id,year,cost
0,2024,27.16121342493164
1,2024,30.84911434141233
2,2024,82.42257405942803
3,2024,10.19159421350969
4,2024,61.0100525965654
0,2022,73.85605268117946
1,2022,19.790107336660345
2,2022,6.514662733306819
3,2022,28.49693679060381
4,2022,66.74330148755926
0,2025,57.2265662780428
1,2025,16.00622633053361
2,2025,44.26307908047872
3,2025,67.92972985745203
4,2025,43.278467327012784
0,2023,64.31843992741165
1,2023,97.74359524936766
2,2023,69.30648223096253
3,2023,40.162483308002614
4,2023,19.725256972009806
